"Category","Series 1","Active Power","Hashrate","Heat Index","Operational"
Mon Nov 01 2021 13:05:00 GMT-0500 (CDT),,105.66118644067797,421.5365953912996,75.47,6327
Mon Nov 01 2021 13:10:00 GMT-0500 (CDT),,104.49665,420.27338619515996,75.51,6331
Mon Nov 01 2021 13:15:00 GMT-0500 (CDT),,104.48270000000001,419.13492203958884,75.87,6329
Mon Nov 01 2021 13:20:00 GMT-0500 (CDT),,104.50146666666666,907.1604497011093,76.06,12493
Mon Nov 01 2021 13:25:00 GMT-0500 (CDT),,104.60731666666668,909.9320629729713,76.23,12511
Mon Nov 01 2021 13:30:00 GMT-0500 (CDT),,104.16808333333333,1328.1966287264422,76.23,17832
Mon Nov 01 2021 13:35:00 GMT-0500 (CDT),,104.21668333333334,1526.8935901905488,76.19,20443
Mon Nov 01 2021 13:40:00 GMT-0500 (CDT),,104.13204999999999,1524.2038914829564,76.33,20451
Mon Nov 01 2021 13:45:00 GMT-0500 (CDT),,103.69038333333333,1520.883360566133,76.39,20437
Mon Nov 01 2021 13:50:00 GMT-0500 (CDT),,103.88574576271186,1514.2939701292387,76.62,20394
Mon Nov 01 2021 13:55:00 GMT-0500 (CDT),,104.20175,1522.371988540156,76.53,20454
Mon Nov 01 2021 14:00:00 GMT-0500 (CDT),,104.05098214285715,1522.6026335968634,77,20448
Mon Nov 01 2021 14:05:00 GMT-0500 (CDT),,103.66505000000001,1510.9845139575887,77.09,20448
Mon Nov 01 2021 14:10:00 GMT-0500 (CDT),,103.62555102040817,1494.971133231531,,20328
Mon Nov 01 2021 14:15:00 GMT-0500 (CDT),,103.61366666666666,1489.2595637122013,77.29,20420
Mon Nov 01 2021 14:20:00 GMT-0500 (CDT),,103.69278333333334,1488.5970178960515,77.41,20448
Mon Nov 01 2021 14:25:00 GMT-0500 (CDT),,103.8918,1478.1097018294108,77.29,20434
Mon Nov 01 2021 14:30:00 GMT-0500 (CDT),,103.87009090909092,1465.7316847905595,77.58,20437
Mon Nov 01 2021 14:35:00 GMT-0500 (CDT),,103.98843333333335,1461.0629606485418,77.86,20758
Mon Nov 01 2021 14:40:00 GMT-0500 (CDT),,104.23949999999999,1450.9067682175032,78.1,20757
Mon Nov 01 2021 14:45:00 GMT-0500 (CDT),,104.14731666666667,1444.8750574946507,77.95,20756
Mon Nov 01 2021 14:50:00 GMT-0500 (CDT),,104.30491666666667,1452.7649843886218,78.22,20751
Mon Nov 01 2021 14:55:00 GMT-0500 (CDT),,104.21833333333333,1432.7713105816292,78.24,20766
Mon Nov 01 2021 15:00:00 GMT-0500 (CDT),,104.49501724137932,1457.8837003869578,78.76,20755
Mon Nov 01 2021 15:05:00 GMT-0500 (CDT),,104.8079,1455.9979314567202,78.82,20753
Mon Nov 01 2021 15:10:00 GMT-0500 (CDT),,105.54986666666667,1475.6859669149292,78.82,20984
Mon Nov 01 2021 15:15:00 GMT-0500 (CDT),,105.54056666666666,1491.886578156892,78.87,21054
Mon Nov 01 2021 15:20:00 GMT-0500 (CDT),,105.62863333333333,1498.6084473364626,78.8,21066
Mon Nov 01 2021 15:25:00 GMT-0500 (CDT),,105.97025000000001,1512.639023968748,78.85,21064
Mon Nov 01 2021 15:30:00 GMT-0500 (CDT),,106.29563333333334,1530.6381539207273,78.98,21071
Mon Nov 01 2021 15:35:00 GMT-0500 (CDT),,106.27952542372881,1541.8607607471367,78.98,21051
Mon Nov 01 2021 15:40:00 GMT-0500 (CDT),,105.87885,1551.7066580815208,79.38,21071
Mon Nov 01 2021 15:45:00 GMT-0500 (CDT),,105.66523333333333,1556.5409185550643,79.54,21070
Mon Nov 01 2021 15:50:00 GMT-0500 (CDT),,105.68441666666668,1562.3139867285968,79.59,21064
Mon Nov 01 2021 15:55:00 GMT-0500 (CDT),,105.56395,1561.5279402787492,79.57,21055
Mon Nov 01 2021 16:00:00 GMT-0500 (CDT),,105.27508333333334,1565.0979815314417,79.5,21054
Mon Nov 01 2021 16:05:00 GMT-0500 (CDT),,105.39720338983051,1522.4849985886137,79.57,21068
Mon Nov 01 2021 16:10:00 GMT-0500 (CDT),,105.71677966101694,1524.5276608038203,79.57,21062
Mon Nov 01 2021 16:15:00 GMT-0500 (CDT),,105.70401666666666,1534.0175521227202,79.59,21055
Mon Nov 01 2021 16:20:00 GMT-0500 (CDT),,105.81363333333334,1542.3101207528002,79.57,21056
Mon Nov 01 2021 16:25:00 GMT-0500 (CDT),,105.81116666666667,1547.1999234118305,79.65,21051
Mon Nov 01 2021 16:30:00 GMT-0500 (CDT),,105.86523333333334,1550.0003255336999,79.61,21048
Mon Nov 01 2021 16:35:00 GMT-0500 (CDT),,106.02040000000001,1556.2379470688193,79.38,21042
Mon Nov 01 2021 16:40:00 GMT-0500 (CDT),,105.37388333333334,1562.3801775404108,79.39,21066
Mon Nov 01 2021 16:45:00 GMT-0500 (CDT),,105.35581666666667,1520.1535648762115,79.39,21037
Mon Nov 01 2021 16:50:00 GMT-0500 (CDT),,105.89231666666666,1528.9910019468591,79.38,21039
Mon Nov 01 2021 16:55:00 GMT-0500 (CDT),,105.87920000000001,1543.15793436137,79.38,21047
