"hour_stump","datacenter_id","datacenter_room_id","miner_model","gigahash/second"
2021-11-09 11:00:00.000,5,"2",S9,467794912
2021-11-05 05:25:00.000,5,"2",S9,470127328
2021-11-17 22:25:00.000,5,"2",S9,458898624
2021-11-20 02:25:00.000,5,"2",S9,466850560
2021-11-21 01:45:00.000,5,"2",S9,465229024
2021-11-15 20:20:00.000,5,"2",S9,453239968
2021-11-13 21:55:00.000,5,"2",S9,454533952
2021-11-22 17:15:00.000,5,"2",S9,464167360
2021-11-05 14:10:00.000,5,"2",S9,470188064
2021-11-16 21:45:00.000,5,"2",S9,465202048
2021-11-13 02:10:00.000,5,"2",S9,453108320
2021-11-14 05:30:00.000,5,"2",S9,457804384
2021-11-19 11:50:00.000,5,"2",S9,465730560
2021-11-12 08:10:00.000,5,"2",S9,462533152
2021-11-23 09:45:00.000,5,"2",S9,463408736
2021-11-18 05:40:00.000,5,"2",S9,463240000
2021-11-13 13:45:00.000,5,"2",S9,457126784
2021-11-08 23:20:00.000,5,"2",S9,466293120
2021-11-21 13:45:00.000,5,"2",S9,464777504
2021-11-28 21:10:00.000,5,"2",S9,461022592
2021-11-19 14:45:00.000,5,"2",S9,0.0
2021-11-29 09:50:00.000,5,"2",S9,458804256
2021-11-30 07:30:00.000,5,"2",S9,453233312
2021-11-04 04:05:00.000,5,"2",S9,469378976
2021-11-24 05:45:00.000,5,"2",S9,463002976
2021-11-11 01:45:00.000,5,"2",S9,460967968
2021-11-14 23:05:00.000,5,"2",S9,434581664
2021-11-04 15:25:00.000,5,"2",S9,470771872
2021-11-10 23:35:00.000,5,"2",S9,458817856
2021-11-04 07:10:00.000,5,"2",S9,469216032
2021-11-18 08:25:00.000,5,"2",S9,462863840
2021-11-15 16:05:00.000,5,"2",S9,454523008
2021-11-15 11:55:00.000,5,"2",S9,455700576
2021-11-10 15:40:00.000,5,"2",S9,464922688
2021-11-12 17:50:00.000,5,"2",S9,576264.0
2021-11-29 07:30:00.000,5,"2",S9,458994016
2021-11-12 17:35:00.000,5,"2",S9,455849952
2021-11-09 12:25:00.000,5,"2",S9,467540896
2021-11-04 13:55:00.000,5,"2",S9,469194816
2021-11-09 06:50:00.000,5,"2",S9,462648736
2021-11-11 03:00:00.000,5,"2",S9,461712896
2021-11-03 19:50:00.000,5,"2",S9,469184640
2021-11-27 05:50:00.000,5,"2",S9,462791840
2021-11-19 15:50:00.000,5,"2",S9,0.0
2021-11-30 01:10:00.000,5,"2",S9,452886496
2021-11-13 16:35:00.000,5,"2",S9,456868192
2021-11-22 05:45:00.000,5,"2",S9,463711424
2021-11-05 00:40:00.000,5,"2",S9,470239712
2021-11-14 17:45:00.000,5,"2",S9,455876480
2021-11-06 19:05:00.000,5,"2",S9,469542784
2021-11-05 17:35:00.000,5,"2",S9,469527072
2021-11-28 11:25:00.000,5,"2",S9,461832896
2021-11-27 23:25:00.000,5,"2",S9,461072576
2021-11-22 06:15:00.000,5,"2",S9,462361504
2021-11-17 13:15:00.000,5,"2",S9,468224448
2021-11-26 00:00:00.000,5,"2",S9,461233984
2021-11-11 19:05:00.000,5,"2",S9,462549600
2021-11-11 12:35:00.000,5,"2",S9,462775008
2021-11-28 13:55:00.000,5,"2",S9,461796864
2021-11-12 06:25:00.000,5,"2",S9,460990816
2021-11-05 22:20:00.000,5,"2",S9,467951840
2021-11-28 21:40:00.000,5,"2",S9,459464864
2021-11-26 04:45:00.000,5,"2",S9,461794272
2021-11-24 04:55:00.000,5,"2",S9,462755168
2021-11-06 13:15:00.000,5,"2",S9,469702368
2021-11-03 18:10:00.000,5,"2",S9,469114016
2021-11-30 07:45:00.000,5,"2",S9,453491680
2021-11-04 05:00:00.000,5,"2",S9,469325632
2021-11-21 21:50:00.000,5,"2",S9,460480896
2021-11-07 19:25:00.000,5,"2",S9,468071008
2021-11-14 05:10:00.000,5,"2",S9,458075520
2021-11-10 00:45:00.000,5,"2",S9,463761696
2021-11-22 22:30:00.000,5,"2",S9,463623328
2021-11-08 05:45:00.000,5,"2",S9,467406016
2021-11-05 17:05:00.000,5,"2",S9,469763744
2021-11-24 00:40:00.000,5,"2",S9,462782080
2021-11-16 08:00:00.000,5,"2",S9,451047008
2021-11-25 14:15:00.000,5,"2",S9,462045600
2021-11-28 21:00:00.000,5,"2",S9,460953600
2021-11-23 10:35:00.000,5,"2",S9,463944960
2021-11-10 04:30:00.000,5,"2",S9,465265120
2021-11-29 08:40:00.000,5,"2",S9,458878112
2021-11-16 11:00:00.000,5,"2",S9,449981952
2021-11-30 05:35:00.000,5,"2",S9,453600736
2021-11-13 19:00:00.000,5,"2",S9,456559328
2021-11-20 16:15:00.000,5,"2",S9,466544064
2021-11-19 17:40:00.000,5,"2",S9,0.0
2021-11-14 17:50:00.000,5,"2",S9,455917792
2021-11-27 16:45:00.000,5,"2",S9,462436416
2021-11-14 14:25:00.000,5,"2",S9,457601760
2021-11-13 23:25:00.000,5,"2",S9,455180800
2021-11-20 22:25:00.000,5,"2",S9,464507392
2021-11-08 21:30:00.000,5,"2",S9,465298240
2021-11-08 21:45:00.000,5,"2",S9,465201952
2021-11-22 13:25:00.000,5,"2",S9,464041984
2021-11-24 00:20:00.000,5,"2",S9,462814144
2021-11-29 12:25:00.000,5,"2",S9,459172192
